Order_ID,Order_Date,Region,Channel,Product,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Profit_Margin
SO00001,2025-01-05,North,Online,Laptop,2,700,0.05,1330.00,891.10,438.90,0.33
SO00002,2025-01-12,South,Retail,Monitor,4,240,0.00,960.00,676.80,283.20,0.30
SO00003,2025-02-03,East,Distributor,Keyboard,6,60,0.10,324.00,223.56,100.44,0.31
SO00004,2025-02-18,West,Online,Headset,5,80,0.00,400.00,276.00,124.00,0.31
SO00005,2025-03-02,North,Retail,Mouse,8,35,0.05,266.00,188.86,77.14,0.29
SO00006,2025-03-15,South,Online,Laptop,3,700,0.10,1890.00,1323.00,567.00,0.30
SO00007,2025-04-06,East,Retail,Monitor,5,240,0.05,1140.00,809.40,330.60,0.29
SO00008,2025-04-21,West,Distributor,Keyboard,7,60,0.00,420.00,281.40,138.60,0.33
SO00009,2025-05-07,North,Online,Headset,4,80,0.15,272.00,190.40,81.60,0.30
SO00010,2025-05-25,South,Retail,Mouse,9,35,0.00,315.00,226.80,88.20,0.28
SO00011,2025-06-11,East,Online,Laptop,2,700,0.00,1400.00,952.00,448.00,0.32
SO00012,2025-06-28,West,Retail,Monitor,3,240,0.10,648.00,447.12,200.88,0.31
SO00013,2025-07-09,North,Distributor,Keyboard,5,60,0.05,285.00,193.80,91.20,0.32
SO00014,2025-08-14,South,Online,Headset,6,80,0.00,480.00,326.40,153.60,0.32
SO00015,2025-09-20,East,Retail,Mouse,7,35,0.10,220.50,158.76,61.74,0.28
SO00016,2025-10-03,West,Online,Laptop,4,700,0.05,2660.00,1772.18,887.82,0.33
SO00017,2025-11-18,North,Retail,Monitor,6,240,0.00,1440.00,1008.00,432.00,0.30
SO00018,2025-12-22,South,Distributor,Keyboard,8,60,0.15,408.00,281.52,126.48,0.31
